Hour,theta_start,K_cm_per_h,delta_theta,theta_end,cumulative_drainage_cm
137,0.18822080965765117,0.33037021832711816,-0.0003303702183271182,0.18789043943932404,24.210956056067587
138,0.18789043943932404,0.3274574812173214,-0.0003274574812173214,0.18756298195810672,24.24370180418932
139,0.18756298195810672,0.324589669169958,-0.00032458966916995807,0.18723839228893677,24.276160771106316
140,0.18723839228893677,0.3217657926293668,-0.00032176579262936677,0.1869166264963074,24.308337350369253
141,0.1869166264963074,0.3189848903352783,-0.00031898489033527834,0.18659764160597211,24.34023583940278
142,0.18659764160597211,0.3162460283293503,-0.00031624602832935027,0.18628139557764276,24.371860442235715
143,0.18628139557764276,0.31354829900299497,-0.00031354829900299497,0.18596784727863977,24.403215272136013
144,0.18596784727863977,0.31089082018452774,-0.00031089082018452774,0.18565695645845523,24.434304354154467
145,0.18565695645845523,0.30827273426375423,-0.00030827273426375424,0.18534868372419147,24.465131627580842
146,0.18534868372419147,0.3056932073522295,-0.00030569320735222946,0.18504299051683923,24.495700948316063
147,0.18504299051683923,0.30315142847751253,-0.00030315142847751257,0.18473983908836172,24.526016091163815
148,0.18473983908836172,0.30064660880982297,-0.000300646608809823,0.1844391924795519,24.556080752044796
149,0.1844391924795519,0.2981779809196014,-0.0002981779809196014,0.1841410144986323,24.585898550136758
150,0.1841410144986323,0.2957447980645499,-0.0002957447980645499,0.18384526970056775,24.615473029943214
151,0.18384526970056775,0.2933463335047899,-0.0002933463335047899,0.18355192336706297,24.644807663293694
152,0.18355192336706297,0.29098187984487484,-0.00029098187984487485,0.18326094148721808,24.67390585127818
153,0.18326094148721808,0.2886507484014283,-0.00028865074840142834,0.18297229073881666,24.702770926118326
154,0.18297229073881666,0.2863522685952648,-0.0002863522685952648,0.18268593847022138,24.731406152977854
155,0.18268593847022138,0.28408578736689166,-0.0002840857873668917,0.1824018526828545,24.759814731714542
156,0.1824018526828545,0.2818506686143623,-0.00028185066861436233,0.18212000201424014,24.787999798575978
157,0.18212000201424014,0.2796462926524859,-0.00027964629265248594,0.18184035572158766,24.815964427841227
158,0.18184035572158766,0.277472055692467,-0.00027747205569246704,0.18156288366589518,24.84371163341047
159,0.18156288366589518,0.2753273693410712,-0.00027532736934107125,0.1812875562965541,24.871244370344577
160,0.1812875562965541,0.2732116601184841,-0.0002732116601184841,0.18101434463643562,24.898565536356426
161,0.18101434463643562,0.27112436899405234,-0.00027112436899405236,0.18074322026744158,24.92567797325583
162,0.18074322026744158,0.2690649509391377,-0.00026906495093913767,0.18047415531650243,24.952584468349745
163,0.18047415531650243,0.26703287449636237,-0.00026703287449636237,0.18020712244200607,24.97928775579938
164,0.18020712244200607,0.26502762136455005,-0.00026502762136455007,0.17994209482064152,25.005790517935836
165,0.17994209482064152,0.2630486859987002,-0.0002630486859987002,0.17967904613464283,25.032095386535705
166,0.17967904613464283,0.2610955752243684,-0.0002610955752243684,0.17941795055941848,25.05820494405814
167,0.17941795055941848,0.25916780786585775,-0.00025916780786585774,0.17915878275155261,25.084121724844724
168,0.17915878275155261,0.2572649143876385,-0.00025726491438763846,0.178901517837165,25.10984821628349
169,0.178901517837165,0.255386436548471,-0.000255386436548471,0.17864613140061653,25.135386859938336
170,0.17864613140061653,0.2535319270676944,-0.0002535319270676944,0.17839259947354882,25.160740052645107
171,0.17839259947354882,0.2517009493031993,-0.0002517009493031993,0.1781408985242456,25.185910147575427
172,0.1781408985242456,0.2498930769406036,-0.0002498930769406036,0.17789100544730502,25.210899455269487
173,0.17789100544730502,0.24810789369319008,-0.0002481078936931901,0.17764289755361182,25.235710244638806
174,0.17764289755361182,0.24634499301216575,-0.0002463449930121658,0.17739655256059966,25.260344743940024
175,0.17739655256059966,0.24460397780684517,-0.0002446039778068452,0.17715194858279282,25.28480514172071
176,0.17715194858279282,0.24288446017435023,-0.00024288446017435025,0.17690906412261848,25.309093587738147
177,0.17690906412261848,0.24118606113846816,-0.00024118606113846818,0.17666787806148002,25.333212193851995
178,0.17666787806148002,0.23950841039729817,-0.00023950841039729816,0.17642836965108272,25.357163034891727
179,0.17642836965108272,0.23785114607934957,-0.0002378511460793496,0.17619051850500336,25.380948149499662
180,0.17619051850500336,0.2362139145077657,-0.00023621391450776572,0.1759543045904956,25.40456954095044
181,0.1759543045904956,0.23459636997235905,-0.00023459636997235907,0.17571970822052324,25.428029177947675
182,0.17571970822052324,0.23299817450915755,-0.00023299817450915755,0.17548671004601407,25.45132899539859
183,0.17548671004601407,0.2314189976871806,-0.00023141899768718062,0.17525529104832688,25.474470895167308
184,0.17525529104832688,0.22985851640216892,-0.00022985851640216896,0.1750254325319247,25.497456746807526
185,0.1750254325319247,0.22831641467700106,-0.00022831641467700107,0.17479711611724771,25.520288388275226
186,0.17479711611724771,0.22679238346855743,-0.00022679238346855744,0.17457032373377915,25.542967626622083
187,0.17457032373377915,0.22528612048077956,-0.0002252861204807796,0.17434503761329836,25.56549623867016
188,0.17434503761329836,0.2237973299837054,-0.00022379732998370543,0.17412124028331466,25.58787597166853
189,0.17412124028331466,0.2223257226382519,-0.0002223257226382519,0.1738989145606764,25.610108543932355
190,0.1738989145606764,0.2208710153265372,-0.00022087101532653722,0.17367804354534988,25.63219564546501
191,0.17367804354534988,0.21943293098754238,-0.0002194329309875424,0.17345861061436235,25.654138938563765
192,0.17345861061436235,0.21801119845791675,-0.00021801119845791676,0.17324059941590444,25.675940058409555
193,0.17324059941590444,0.21660555231773812,-0.00021660555231773813,0.17302399386358672,25.697600613641328
194,0.17302399386358672,0.21521573274105474,-0.00021521573274105475,0.17280877813084566,25.719122186915435
195,0.17280877813084566,0.21384148535103564,-0.00021384148535103564,0.17259493664549463,25.740506335450537
196,0.17259493664549463,0.21248256107956207,-0.00021248256107956207,0.17238245408441508,25.761754591558493
197,0.17238245408441508,0.21113871603111117,-0.0002111387160311112,0.17217131536838395,25.782868463161602
198,0.17217131536838395,0.20980971135076995,-0.00020980971135076997,0.1719615056570332,25.80384943429668
199,0.1719615056570332,0.20849531309624245,-0.00020849531309624248,0.17175301034393695,25.824698965606306
200,0.17175301034393695,0.20719529211370663,-0.00020719529211370665,0.17154581505182323,25.845418494817675
201,0.17154581505182323,0.20590942391739053,-0.00020590942391739055,0.17133990562790585,25.866009437209414
202,0.17133990562790585,0.2046374885727351,-0.00020463748857273508,0.1711352681393331,25.886473186066688
203,0.1711352681393331,0.20337927058302233,-0.00020337927058302233,0.17093188886875008,25.90681111312499
204,0.17093188886875008,0.20213455877935196,-0.00020213455877935197,0.17072975430997073,25.927024569002928
205,0.17072975430997073,0.20090314621384814,-0.00020090314621384816,0.17052885116375688,25.947114883624312
206,0.17052885116375688,0.19968483005598944,-0.00019968483005598946,0.17032916633370088,25.96708336662991
207,0.17032916633370088,0.19847941149195783,-0.00019847941149195785,0.17013068692220892,25.986931307779106
208,0.17013068692220892,0.19728669562690024,-0.00019728669562690023,0.16993340022658202,26.006659977341794
209,0.16993340022658202,0.19610649139001207,-0.00019610649139001208,0.169737293735192,26.026270626480795
210,0.169737293735192,0.1949386114423408,-0.00019493861144234082,0.16954235512374966,26.04576448762503
211,0.16954235512374966,0.19378287208722783,-0.00019378287208722783,0.16934857225166242,26.065142774833753
212,0.16934857225166242,0.19263909318329467,-0.0001926390931832947,0.16915593315847913,26.084406684152082
213,0.16915593315847913,0.19150709805989385,-0.00019150709805989389,0.16896442606041923,26.10355739395807
214,0.16896442606041923,0.19038671343494193,-0.00019038671343494195,0.1687740393469843,26.122596065301565
215,0.1687740393469843,0.18927776933505783,-0.00018927776933505783,0.16858476157764923,26.14152384223507
216,0.16858476157764923,0.1881800990179329,-0.00018818009901793288,0.1683965814786313,26.160341852136863
217,0.1683965814786313,0.187093538896858,-0.000187093538896858,0.16820948793973442,26.17905120602655
218,0.16820948793973442,0.18601792846734092,-0.00018601792846734092,0.16802347001126708,26.197652998873284
219,0.16802347001126708,0.1849531102357445,-0.0001849531102357445,0.16783851690103133,26.21614830989686
220,0.16783851690103133,0.18389892964988672,-0.00018389892964988674,0.16765461797138143,26.23453820286185
221,0.16765461797138143,0.18285523503153295,-0.00018285523503153294,0.1674717627363499,26.252823726365
222,0.1674717627363499,0.18182187751072368,-0.0001818218775107237,0.16728994085883916,26.271005914116074
223,0.16728994085883916,0.18079871096188668,-0.0001807987109618867,0.16710914214787728,26.28908578521226
224,0.16710914214787728,0.17978559194166358,-0.0001797855919416636,0.16692935655593563,26.307064344406427
225,0.16692935655593563,0.17878237962841356,-0.00017878237962841358,0.16675057417630723,26.324942582369268
226,0.16675057417630723,0.177788935763329,-0.00017778893576332898,0.1665727852405439,26.342721475945602
227,0.1665727852405439,0.17680512459312017,-0.00017680512459312018,0.16639598011595078,26.360401988404913
228,0.16639598011595078,0.17583081281421953,-0.00017583081281421952,0.16622014930313656,26.377985069686336
229,0.16622014930313656,0.17486586951845995,-0.00017486586951845996,0.1660452834336181,26.395471656638183
230,0.1660452834336181,0.17391016614017657,-0.0001739101661401766,0.16587137326747792,26.4128626732522
231,0.16587137326747792,0.1729635764046976,-0.0001729635764046976,0.16569840969107322,26.430159030892668
232,0.16569840969107322,0.1720259762781755,-0.0001720259762781755,0.16552638371479506,26.447361628520486
233,0.16552638371479506,0.1710972439187208,-0.0001710972439187208,0.16535528647087633,26.46447135291236
234,0.16535528647087633,0.1701772596287976,-0.0001701772596287976,0.16518510921124754,26.48148907887524
235,0.16518510921124754,0.16926590580884754,-0.00016926590580884757,0.1650158433054387,26.498415669456122
236,0.1650158433054387,0.1683630669120984,-0.0001683630669120984,0.1648474802385266,26.515251976147333
237,0.1648474802385266,0.16746862940053198,-0.000167468629400532,0.16468001160912607,26.531998839087386
238,0.16468001160912607,0.16658248170196513,-0.00016658248170196513,0.16451342912742412,26.54865708725758
239,0.16451342912742412,0.16570451416822288,-0.0001657045141682229,0.1643477246132559,26.565227538674403
240,0.1643477246132559,0.16483461903436405,-0.00016483461903436407,0.16418288999422154,26.58171100057784
